;DBA;DBB;DBE;DBP;EXI;FILL;IAGG;IGF;ILTB;IMTB;ISTB;IXG;IXJ;IXN;IXP;JXI;KXI;MXI;REET;RXI
2020-01-02 10:00:00;0.008213;0.009619;0.002294;0.012815;0.013;0.005073;0.160481;0.016445;0.020122;0.020563;0.616099;0.015048;0.010049;0.005612;0.012678;0.011809;0.022056;0.012977;0.009345;0.015701
2020-02-03 10:00:00;0.005745;0.006958;0.002289;0.009606;0.008152;0.004805;0.157459;0.013499;0.016434;0.022608;0.670105;0.009837;0.00701;0.00447;0.007694;0.01094;0.015828;0.011041;0.006169;0.009352
2020-03-02 10:00:00;0.006305;0.007223;0.002756;0.003375;0.0041;0.001761;0.190381;0.005062;0.01387;0.027396;0.701507;0.004676;0.003917;0.001517;0.00326;0.004672;0.006861;0.004405;0.003195;0.003761
2020-04-01 10:00:00;0.050581;0.067742;0.015817;0.015726;0.013423;0.004738;0.367811;0.007286;0.017612;0.133447;0.195889;0.012068;0.01289;0.007944;0.015024;0.006517;0.012751;0.017257;0.007123;0.018355
2020-05-01 10:00:00;0.035906;0.064526;0.005898;0.016118;0.012562;0.004254;0.396495;0.006766;0.017907;0.141488;0.195755;0.010705;0.012055;0.007161;0.014245;0.005956;0.012842;0.016373;0.006566;0.016424
2020-06-01 10:00:00;0.033183;0.048473;0.005104;0.016197;0.012378;0.003996;0.402141;0.006841;0.017337;0.156049;0.189923;0.01023;0.013235;0.008537;0.016257;0.00633;0.014028;0.0164;0.006216;0.017145
2020-07-01 10:00:00;0.011031;0.012317;0.001094;0.00901;0.003427;0.00175;0.42069;0.004201;0.021895;0.121503;0.348649;0.003108;0.005865;0.003147;0.005638;0.00398;0.00985;0.005462;0.002705;0.004678
2020-08-03 10:00:00;0.008205;0.006411;0.00162;0.004699;0.00185;0.001186;0.403198;0.002609;0.01703;0.060812;0.46592;0.0018;0.003885;0.001996;0.002822;0.003009;0.005648;0.002848;0.001684;0.002767
2020-09-01 10:00:00;0.008647;0.00778;0.002129;0.002207;0.002032;0.001276;0.343752;0.002614;0.013929;0.059872;0.527336;0.00222;0.004438;0.00215;0.002652;0.002837;0.005813;0.003017;0.002017;0.003281
2020-10-01 10:00:00;0.006605;0.004829;0.001652;0.001592;0.002748;0.001418;0.197724;0.003206;0.0115;0.068785;0.670472;0.003326;0.004279;0.001409;0.002621;0.003022;0.0056;0.003205;0.00217;0.003839
2020-11-02 10:00:00;0.007275;0.004512;0.001582;0.001947;0.002616;0.00148;0.160375;0.003414;0.012732;0.135189;0.640125;0.003096;0.003866;0.00151;0.002581;0.003337;0.005799;0.002947;0.001974;0.003642
2020-12-01 10:00:00;0.006758;0.003763;0.001234;0.003508;0.002321;0.00097;0.229325;0.003013;0.017463;0.092439;0.612358;0.002775;0.003809;0.001554;0.002611;0.003723;0.004865;0.002594;0.001749;0.003168
